geohash,RoadType,NumberofLanes,LargeVehicles,Landmarks,Temperature,Weather,time_slot,Hour,Minute,sin_time,cos_time,geohash_len4,geohash_len5,latitude,longitude,demand_lag_24h,geo_global_mean,geo_global_std,ts_global_mean,ts_global_std,Road_x_Weather,Road_x_Hour
4,3,1,1,0,17.032812278839067,4,0,0,0,0.0,1.0,0,1,-5.48492431640625,90.6646728515625,0.0488042949024875,0.038897764950007206,0.03240902209760535,0.05297759474307576,0.07525833277562748,19,72
25,1,3,0,1,31.104564604387004,3,0,0,0,0.0,1.0,0,1,-5.46295166015625,90.6866455078125,0.1185072915415505,0.21864389932825806,0.10273067386523949,0.05297759474307576,0.07525833277562748,8,24
370,1,1,1,0,25.91926731826868,3,0,0,0,0.0,1.0,3,16,-5.46295166015625,90.7086181640625,0.0271317062001134,0.1347247802964073,0.07344444551206329,0.05297759474307576,0.07525833277562748,8,24
418,1,1,1,0,17.032812278839067,1,0,0,0,0.0,1.0,3,19,-5.46295166015625,90.8624267578125,0.0032715267668777,0.014785722860317888,0.009941140654835227,0.05297759474307576,0.07525833277562748,6,24
22,1,1,1,0,10.803667437719188,1,0,0,0,0.0,1.0,0,1,-5.45745849609375,90.6756591796875,0.0108193962352523,0.028175897867844687,0.025017819630489678,0.05297759474307576,0.07525833277562748,6,24
28,1,2,1,1,8.446025217429987,1,0,0,0,0.0,1.0,0,1,-5.45745849609375,90.6866455078125,0.0162622793894155,0.5287996869343139,0.2953950694920414,0.05297759474307576,0.07525833277562748,6,24
30,1,3,0,1,15.772408216444395,0,0,0,0,0.0,1.0,0,1,-5.45745849609375,90.6976318359375,0.0422474543815316,0.1432280798493657,0.06944816977522003,0.05297759474307576,0.07525833277562748,5,24
383,1,1,1,0,2.7051432662852353,2,0,0,0,0.0,1.0,3,16,-5.45745849609375,90.7415771484375,0.0401354627300932,0.1396101407841014,0.10233481470739288,0.05297759474307576,0.07525833277562748,7,24
415,1,1,1,0,18.13689866092085,0,0,0,0,0.0,1.0,3,19,-5.45745849609375,90.8514404296875,0.0010020345130475,0.04264358446954773,0.032512315856843936,0.05297759474307576,0.07525833277562748,5,24
423,1,3,0,1,12.738208945925855,1,0,0,0,0.0,1.0,3,19,-5.45745849609375,90.8734130859375,0.0039484383575523,0.017056763751755244,0.012523736886612473,0.05297759474307576,0.07525833277562748,6,24
21,1,1,1,0,8.240079709262693,1,0,0,0,0.0,1.0,0,1,-5.45196533203125,90.6646728515625,0.0177802395047849,0.10150529395791408,0.053132440224547106,0.05297759474307576,0.07525833277562748,6,24
23,1,2,1,1,19.24538095251939,3,0,0,0,0.0,1.0,0,1,-5.45196533203125,90.6756591796875,0.0890601277643069,0.1636499004763352,0.11112470619027473,0.05297759474307576,0.07525833277562748,8,24
